ID	Stage	part of stage	stage preceded by 	Def	Synonyms	Reference	Time for P. lividus at 18°C	Definition	P. lividus specificities	OBO Uberon	Pubmed references
ECAO:0000040	mid-gastrula stage	invagination phase	early gastrula stage		"G, mid-G"		22:00:00	"The embryo is mainly characterized morphologically by the presence of an archenteron (i.e. primitive digestive tract) that has reached one-half its way into the blastocoel. A second phase of archenteron elongation has taken place by invagination of additional cells into the blastocoel, by cell division or by convergent-extension movements depending on the sea urchin species. Non-skeletogenic mesoderm cells that are present at the tip of the archenteron have further started ingressing into the blastocoel, generating the non-skeletogenic mesenchyme cells (or NSM cells, secondary mesenchyme cells or SMC). The oral ectoderm has also started to flatten and to become thicker, providing the first morphological indicator of the oral-aboral (or ventro-dorsal) axis of the embryo. As a consequence the oral chain formed by a portion of the skeletogenic mesenchyme cells has also flattened. Finally, skeletal calcification has further begun within the skeletogenic mesenchyme ventrolateral clusters, marked by the presence of the first calcified structures, which appear as small dots at that stage. At the animal pole, the animal neuroectoderm territory is still marked by an enlarged epithelium bearing long and immotile cilia."			"Formery et al., (in prep)

Kominami, T. and Takata, H. (2004). Gastrulation in the sea urchin embryo: a model system for analyzing the morphogenesis of a monolayered epithelium. Dev Growth Differ 46, 309–26.

Martik, M. L. and McClay, D. R. (2017). New insights from a high-resolution look at gastrulation in the sea urchin, Lytechinus variegatus. Mechanisms of Development 148, 3–10.

Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000041	late gastrula stage	invagination phase	mid-gastrula stage		"LG, late-G"		24:00:00	"The embryo is mainly characterized morphologically by the presence in the blastocoel of a fully extended archenteron (i.e. primitive digestive tract) that has now reached the roof of the blastocoel. The third and last extension phase of the archenteron has been ensured by pulling forces exerted by non-skeletogenic mesoderm cells that are still present at the tip of the archenteron. These cells have produced filopodia that extended towards the animal pole, attached the wall, and then shortened, thereby pulling up the archenteron. In some sea urchin species, this pulling force is already orienting the tip of the archenteron towards the oral ectoderm, where the future mouth of the larvae will form. In parallel, in the blastocoel, additional non-skeletogenic mesoderm cells continued ingressing from the tip of the archenteron and the skeletal calcified structures present in the skeletogenic mesenchyme ventrolateral clusters have further grown, forming now the primary triradiate skeletal rudiments (or spicules). At the animal pole, the animal neuroectoderm territory is still marked by an enlarged epithelium bearing long and immotile cilia."			"Formery et al., (in prep)

Kominami, T. and Takata, H. (2004). Gastrulation in the sea urchin embryo: a model system for analyzing the morphogenesis of a monolayered epithelium. Dev Growth Differ 46, 309–26.

Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000042	organogenesis period	embryogenesis	gastrula period					To be written			
ECAO:0000043	prism stage	organogenesis period	late gastrula stage		"Pr, D"		32:00:00	"The embryo is mainly characterized morphologically by a typical triangular shape, the beginning of the tripatition of the digestive tract and the presence of pigmented cells. The oral (or ventral) ectoderm has by now even more flattened, making an almost perfect right angle with the blastoporal side of the embryo. By contrast, on the opposite side, the aboral (or dorsal) ectoderm has round up and slightly elongated, thereby forming the primitive apex of the future larvae. These changes have conferred the embryo a typical and easy recognizable triangular shape. In the oral ectoderm, a small depression has further appeared, called the stomodeum, which will later fuse with the tip of the archenteron to form the mouth. In the blastocoel, the digestive tract has also by now bended toward the stomodeum and started to become tripartite. The cardiac sphincter has started forming, separating the future esophagus from the future stomach. The triradiate spicules have also continued elongating, thereby forming by now, towards the animal pole, the right and left dorsoventral connecting rods, towards the apex, the body rods, and along the vegetal, oral ectoderm the left and right ventral transverse rods. Moreover, some non-skeletogenic mesenchyme cells (or NSM cells, secondary mesenchyme cells or SMC) have started becoming pigmented and inserted into the aboral ectoderm. These cells represent part of the future immune system of the larvae along with other blastocoelar cells that are present in the blastocoel around the gut. In the vicinity of the future esophagus, other non-skeletogenic mesoderm descendant cells along with some endoderm cells have further arranged to form a single unpaired coelomic pouch. At the animal pole, the apical pole domain has also started to flatten making the embryo look like a square when viewed from the oral side, and it still arbors a tuft a long and immotile cilia. Finally, within the apical pole domain, but not yet in the ciliary band, molecular labeling surveys also start by this stage to reveal the presence of differentiating neuronal cells. "			"Formery et al., (in prep)

Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000044	larval development	life cycle period	embryogenesis								
ECAO:0000045	early feeding larva period	larval development	organogenesis period	UBERON:0000105				Biological process during which the specific outcome is the progression of a free-living larva before the development of the adult. Indirect development represents the mainstream developmental mode of metazoans. This process usually starts with the emergence of a larva that is planktonic and stops at the end of metamorphosis once the animal assumes adult characters. 		UBERON:0000069	
ECAO:0000046	early pluteus larva stage	early feeding larva period	prism stage		"Eplut, early pluteus stage, 2-arm pluteus stage"		40:00:00	"The embryo is by now a fully formed pluteus larva. The mouth has opened and the digestive tract is becoming functional. On the ventral side, the mouth is surrounded anteriorly by an oral hood and posteriorly by two postoral arms. On the dorsal side, the apex has lengthened. The skeleton has indeed continued extending, expending the dorsoventral connecting rods, the body rods, and the ventral transverse rods as well as developing the anterolateral rods and the postoral rods. Within the larva, the tripartition of the digestive tract has further progressed. The cardiac sphincter is now fully formed in between the esophagus and the stomach, and the pyloric sphincter in between the stomach and the intestine and the anal sphincter at the level of the anus have also started forming. Around the esophagus, the coelomic pouch has further developed into two bilobed sacs (or pouches), one on each side of the digestive tract. Finally, within the apical pole domain, as well as within the ciliary band, differentiated neurons with their extended axons can also now be distinguished by immunostaining. In parallel, the apical tuft of long and immotile cilia remains discernable at the tip of the oral hood, while in parallel the ciliary band has further started growing a concentrated number of intermediate size motile cilia, which will be used by the larva to swim directionally.  "		UBERON_0008265	"Formery et al., (in prep)

Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000047	4-arm pluteus larva stage	early feeding larva period	early pluteus larva stage		"Pluteus, pluteus larva, Plut, Plut4a, P"		48:00:00	"The 4-arm pluteus larva is mainly characterized morphologically by the presence, on the ventral side, of four extended arms (two anterolateral arms at the level of the oral hood and two postoral arms) and on the dorsal side by a sleeked apex. The larva now possesses a completely tripartite and functional digestive tract composed of an esophagus, a stomach, and an intestine, respectively limited by a cardiac sphincter, a pyloric sphincter, and an anal sphincter. Around the esophagus, the right and left coelomic pouches have further started to grow in size and elongate. The first morphological indicator of a left-right asymmetry becomes apparent at that stage, the left coelomic pouch being slightly more elongated than the right one. Furthermore, a thin protrusion of non-skeletogenic mesenchyme cells can be seen extending from the left coelomic pouch to the anterior ectoderm. This is the primary pore canal, which opens to the exterior environment by the hydropore. The larva further now possesses, all around the esophagus, a network of contractile muscles allowing it to swallow and feed. Finally, the apical tuft previously observed at the animal pole has by now disappeared, leaving behind only the concentrated stretch of intermediate size cilia borne by the ciliary band. "		UBERON_0008265	"Brandhorst, B. P. and Klein, W. H. (2002). Molecular patterning along the sea urchin animal-vegetal axis. Int Rev Cytol 213, 183–232.

Formery et al., (in prep)

Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Smith, M. M., Smith, L. C., Cameron, R. A., & Urry, L. A. (2008). The larval stages of the sea urchin, Strongylocentrotus purpuratus. Journal of Morphology, 269(6), 713–733

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000048	late feeding larva period	larval development	early feeding larva period					To be written			
ECAO:0000049	6-arm pluteus larva stage	late feeding larva period	4-arm pluteus larva stage		Plut6a		 +/- 9d	"The 6-arm pluteus larva is mainly characterized morphologically by the presence, on the ventral side, of six arms, and by the development, on the anterior midline of the esophagus, of the dorsal arch. The larva has indeed extended on the ventral side two additional posterodorsal arms and has developed on the anterior side an additional skeletal element called the dorsal arch. In addition, at the basis of the postoral and posterodorsal arms, four small patches of ciliary band have by now cut off and migrated toward the apex, forming four patches of ciliated structures called the epaulettes (one posterior and one anterior pair). The nervous system of the larva has also become more complex with cell bodies and axons being present all along the arms and for the latter as well throughout the apex. The left and right coelomic pouches have continued to elongate on each side of the digestive tract. As a note this stage is relatively fleeting. "		UBERON_0008265	"Formery et al., (in prep)

Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Smith, M. M., Smith, L. C., Cameron, R. A., & Urry, L. A. (2008). The larval stages of the sea urchin, Strongylocentrotus purpuratus. Journal of Morphology, 269(6), 713–733

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000050	8-arm pluteus larva stage	late feeding larva period	6-arm pluteus larva stage		Plut8a		 +/- 12d	"The 8-arm pluteus larva is mainly characterized morphologically by the presence on the ventral side of the larva of eight arms and by the development within the larva, on the left side of the stomach, of the adult rudiment. This stage is relatively long. It includes distinct changes occurring to the larva as well as within the larva, although the larva consistently exhibits 8 arms. In addition, it should be highlighted that the sequence of events taking place at the level of the larva compared to that occurring on the left side of the stomach to form the rudiment are heterochronic, meaning that differences are observed among individuals in the relative timing of these events. From the larval point of view, at that stage, on the anterior side, the dorsal arch has extended out of the oral hood, thereby forming two additional arms above the mouth, i.e. the preoral arms. In parallel, across the apex, the epaulettes have continued developing, thereby generating four large structures rich in cilia and perpendicular to the ventro-dorsal axis. At the tip of the apex, the suture of the body rods has also eventually ruptured, considerably enlarging the larval apex and reducing the angle between the postoral and posterodorsal arms. In parallel, inside the larva, the left coelomic pouch has also by now been partitioned into three parts: the axocoel (upper part, close to the esophagus), the hydrocoel (middle part) and the somatocoel (lower part, next to the stomach). Likewise, on the opposite side, the right coelomic pouch has also been partitioned into a right axohydrocoel and a right somatocoel, although the right axohydrocoel remains in a rudimentary state compared to its left counterparts. In addition, at the basis of the posterodorsal arm on the left side, a small portion of the ectoderm has thickened, invaginated, and came into contact with the left hydocoel. This structure is called the vestibule and together with the left hydrocoel and the left stomatocoel they have further subsequently fused to form the adult rudiment. The formation of the rudiment has overall taken some time, giving rise first to a pentaradial disc and then to a pentaradial complex structure harboring podia (i.e. tube feet) and spines. In parallel, on the right size of the larva, a variable number of pedicellariae (one to four) and endoskeletal elements (i.e. the five genital plates) have further formed, which will also later contribute to the composition of the adult body."		UBERON_0008265	"Formery et al., (in prep)

Heyland, A., & Hodin, J. (2014). A detailed staging scheme for late larval development in Strongylocentrotus purpuratus focused on readily-visible juvenile structures within the rudiment. BMC developmental biology, 14(1), 22.

Hyman, L. H. (1955). The invertebrates. Vol. 4,. New York; London(etc): McGraw-Hill.

Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Smith, M. M., Smith, L. C., Cameron, R. A., & Urry, L. A. (2008). The larval stages of the sea urchin, Strongylocentrotus purpuratus. Journal of Morphology, 269(6), 713–733

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000051	competent pluteus larva stage	late feeding larva period	8-arm pluteus larva stage		"cPlut, Cpt8a"		 between 18d to 25d depending on the food supplied	"The competent pluteus larva is mainly characterized morphologically by the presence, on the ventral size, of still 8 arms and by the presence on the left side of the stomach of the rudiment that is now the size of or even bigger than the stomach. The rudiment further harbors by now five long primary podia (i.e. tube feet), five quartets of definitive spines located between the primary podia and five pairs of immature spines at the basis of the primary podia, while on the opposite side, i.e. on the right side of the larva, five to seven immature spines have further developed, supported by the genital plates, along with one to four pedicaellariae. At the level of the larva, in parallel, the anterior and posterior pairs of epaulettes have also considerably increased in size by now and even fused dorsally to the hydropore and to the anus respectively, thereby leaving exempt of cilia two lateral fields in between them. At the center of the left lateral field, the vestibular roof has also by now ruptured and this opening has created the vestibular pore, through which some primary podia of the rudiment protrude outside the larva and scrutinize the substrate looking for the adequate cues to begin metamorphosis. At that stage, the larva is thus exhibiting a typical substrate-test behavior, going to the sea bottom and scrutinizing the substrate. This behavior is characteristic of a larva named competent to metamorphosis, which it will accomplish providing that it is adequately stimulated by environmental factors. "		UBERON_0008265	"Formery et al., (in prep)

Gosselin, P. and Jangoux, M. (1998). From competent larva to exotrophic juvenile: a morphofunctional study of the perimetamorphic period of Paracentrotus lividus (Echinodermata, Echinoida). Zoomorphology 118, 31–43.

Heyland, A., & Hodin, J. (2014). A detailed staging scheme for late larval development in Strongylocentrotus purpuratus focused on readily-visible juvenile structures within the rudiment. BMC developmental biology, 14(1), 22.

Hyman, L. H. (1955). The invertebrates. Vol. 4,. New York; London(etc): McGraw-Hill.

Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Smith, M. M., Smith, L. C., Cameron, R. A., & Urry, L. A. (2008). The larval stages of the sea urchin, Strongylocentrotus purpuratus. Journal of Morphology, 269(6), 713–733

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000052	metamorphic larva stage	late feeding larva period	competent pluteus larva stage		"metamorphosis, meta"		 between 18d to 25d depending on the food supplied	"The metamorphic larva stage consists essentially of the evagination of the echinoid rudiment. It is characterized by the execution of conspicuous and relatively abrupt physical changes that take place quite quickly, in about one hour, and during which the planktonic larva is transformed into a benthic juvenile. At that stage, the larva is settled on the substrate and is firmly attached to it by the primary podia of the rudiment. The ectodermal epithelium of its arms has started to collapse, making the spicules supporting the larval arms piercing through the epidermis. The larval mouth and anus have further closed, while in parallel, within the larva, the rudiment spines have lifted up thereby distending the vestibular wall and wide opening the vestibular pore. Following these movements, the rudiment has farther down accomplished and finalized its complete eversion, encapsulating the digestive tract and reaching the right side of the larval body. During this process, the genital plates and the associated pedicellariae and immature spines present on the right side of the larva have further completed the production of the aboral part of the adult body. At the end of metamorphosis, hence at the end of the metamorphic larva stage, the individual has thus become benthic, it is settled in the substrate, and it looks like an adult pentaradial sea urchin although it is smaller in size, deprived of a functional digestive system and sexually immature. "			"Formery et al., (in prep)

Gosselin, P. and Jangoux, M. (1998). From competent larva to exotrophic juvenile: a morphofunctional study of the perimetamorphic period of Paracentrotus lividus (Echinodermata, Echinoida). Zoomorphology 118, 31–43.

Hyman, L. H. (1955). The invertebrates. Vol. 4,. New York; London(etc): McGraw-Hill.

Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.

Rahman, M. A., Yusoff, F. M., Arshad, A., Shamsudin, M. N. and Amin, S. M. N. (2012). Embryonic, Larval, and Early Juvenile Development of the Tropical Sea Urchin, Salmacis sphaeroides (Echinodermata: Echinoidea). Scientific World Journal.

Smith, M. M., Smith, L. C., Cameron, R. A., & Urry, L. A. (2008). The larval stages of the sea urchin, Strongylocentrotus purpuratus. Journal of Morphology, 269(6), 713–733

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000053	adulthood	life cycle period	larval development	UBERON:0000105				Biological process during which changes occur in biological and psychological domains to generate a sexually mature animal.			
ECAO:0000054	juvenile period	adulthood	metamorphic larva stage					"Period during which a young individual, posing as a small adult, grows but remains unable to reproduce."		UBERON_0034919	
ECAO:0000055	early juvenile stage	juvenile period	metamorphic larva stage		"PLJuv, postlarva, endotrophic juvenile"		"right after metamorphosis
(i.e. between 18d to 25d depending on the food supplied)"	"The early juvenile is morphologically similar to both the late rudiment and a miniature sea urchin adult. Like the rudiment, it harbors five primary podia (or tube feet), five quartet of definitive spines, five pairs of immature spines located at the basis of the primary podia, 5 to 7 immature spines supported by the genital plates as well as 1 to 4 pedicellariae. Like the adult, it displays a pentarial symmetry and is settled on the substrate. An early juvenile is about 300 µm in diameter. On its aboral side, it still exhibits some remaining larval rods and tissues, although these will soon disappear. In addition, the plates forming its endoskeleton are still rather light and porous making it looking relatively clear, although it bears lots of red-pigmented cells. However, the postlarva is still deprived of a mouth and an anus, hence of a functional digestive tract. The early juvenile is thus endotrophic, meaning that its growth and development solely relies on energy derived from internal sources. Furthermore, the early juvenile is sexually immature."		UBERON_0007021	"Formery et al., (in prep)

Gosselin, P. and Jangoux, M. (1998). From competent larva to exotrophic juvenile: a morphofunctional study of the perimetamorphic period of Paracentrotus lividus (Echinodermata, Echinoida). Zoomorphology 118, 31–43.

Hyman, L. H. (1955). The invertebrates. Vol. 4,. New York; London(etc): McGraw-Hill.

Rahman, M. A., Yusoff, F. M., Arshad, A., Shamsudin, M. N. and Amin, S. M. N. (2012). Embryonic, Larval, and Early Juvenile Development of the Tropical Sea Urchin, Salmacis sphaeroides (Echinodermata: Echinoidea). Scientific World Journal.

Va??tilingon, D., Morgan, R., Grosjean, P., Gosselin, P. and Jangoux, M. (2001). Effects of delayed metamorphosis and food rations on the perimetamorphic events in the echinoid Paracentrotus lividus (Lamarck, 1816) (Echinodermata). J. Exp. Mar. Biol. Ecol. 262, 41–60.

Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654."
ECAO:0000056	late juvenile stage	juvenile period	early juvenile stage		ExJuv		 +/- 8d after metamorphosis 	"The late juvenile really looks like a small adult. The plates of its endoskeleton have by now densified providing it with a dark shell. In addition, it has finally developed a functional digestive tract. The digestive tract inherited from the larva has indeed by now undergone a complete reorganization, progressively bending within the perivisceral cavity to form two successive loops. The buccal plates and the aristotle lantern have further finished developing, creating a new mouth that has opened on the oral side at the center of the aristotle's lantern, while a new anus has also opened in the periproct, i.e. at the center of the five genital plates. The late juvenile can thus feed and starts growing in size, by grazing on the substrate. The late juvenile is exotrophic, meaning that its growth and development rely on energy derived from external sources. In addition, the primary podia have started to regress by that stage and will eventually disappear, while secondary podia have emerged and are functional, allowing the juvenile to move. Similarly, the immature spines have also started to be lost and be replaced by definitive spines. The genital plate CD has further differentiated into the madreporite and sphaeridia have formed. However, this individual is still sexually immature."		UBERON_0007021	"Formery et al., (in prep)

Gosselin, P. and Jangoux, M. (1998). From competent larva to exotrophic juvenile: a morphofunctional study of the perimetamorphic period of Paracentrotus lividus (Echinodermata, Echinoida). Zoomorphology 118, 31–43.

Hyman, L. H. (1955). The invertebrates. Vol. 4,. New York; London(etc): McGraw-Hill."
ECAO:0000057	adult period	adulthood	juvenile period					Period during which the animal reaches sexual maturity.		UBERON:0000066	
ECAO:0000058	adult stage	adult period	late juvenile stage		"sexual mature sea urchin, gravid sea urchin"		between 6 months to 1 year after fertilization	"This stage corresponds to a fully formed pentaradial sea urchin that has reached sexual maturity. The gonads have developed within the perivisceral cavity and are connected to the outside by the genital pores pierced into the genital plates. The young adult has grown up to about several centimeters in diameter and is now producing gametes. Time after fertilization is unknown, between several months to one year depending on the sea urchin species and the rate and type of feeding."		UBERON_0000113	"Hyman, L. H. (1955). The invertebrates. Vol. 4,. New York; London(etc): McGraw-Hill."
