ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto					
ECAO:0100552	oral hood	larval structure	larva		early pluteus larva stage	competent pluteus larva stage		"oh, preoral lobe, PL"					"gossellin and jangoux 1998 et Smith et al., 2008"						x					
ECAO:0100553	apex	larval structure	larva		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100554	larval arm	larval structure	larva		early pluteus larva stage	competent pluteus larva stage							"Yajima, M., & Kiyomoto, M. (2006)."						x					
ECAO:0100555	right anterolateral arm	larval arm	larva		4-arm pluteus larva stage	competent pluteus larva stage		"AL, ALA"					"Yajima, M., & Kiyomoto, M. (2006)."						x					
ECAO:0100556	left anterolateral arm	larval arm	larva		4-arm pluteus larva stage	competent pluteus larva stage		"AL, ALA"					"Yajima, M., & Kiyomoto, M. (2006)."						x					
ECAO:0100557	right postoral arm	larval arm	larva		early pluteus larva stage	competent pluteus larva stage		PO					"Yajima, M., & Kiyomoto, M. (2006)."						x					
ECAO:0100558	left postoral arm	larval arm	larva		early pluteus larva stage	competent pluteus larva stage		PO					"Yajima, M., & Kiyomoto, M. (2006)."						x					
ECAO:0100559	right posterodorsal arm	larval arm	larva		6-arm pluteus larva stage	competent pluteus larva stage		PD					"Yajima, M., & Kiyomoto, M. (2006)."						x					
ECAO:0100560	left posterodorsal arm	larval arm	larva		6-arm pluteus larva stage	competent pluteus larva stage		PD					"Yajima, M., & Kiyomoto, M. (2006)."						x					
ECAO:0100561	right preoral arm	larval arm	larva		8-arm pluteus larva stage	competent pluteus larva stage		"PR, PRO"					"Yajima, M., & Kiyomoto, M. (2006)."						x					
ECAO:0100562	left preoral arm	larval arm	larva		8-arm pluteus larva stage	competent pluteus larva stage		"PR, PRO"					"Yajima, M., & Kiyomoto, M. (2006)."						x					
ECAO:0100563	spicule granule	spicule rudiment	endoskeleton		mid-gastrula stage	adult stage		spicule dot											x					
ECAO:0100564	spicule rudiment	skeletal element	endoskeleton		mid-gastrula stage	adult stage																		
ECAO:0100565	triradiate spicule rudiment	spicule rudiment	endoskeleton	spicule granule	mid-gastrula stage	adult stage		spicule primordium											x					
ECAO:0100566	right ventrolateral triradiate spicule rudiment	triradiate spicule rudiment	endoskeleton	spicule granule	mid-gastrula stage	late gastrula stage		triradiate spicule											x					
ECAO:0100567	left ventrolateral triradiate spicule rudiment	triradiate spicule rudiment	endoskeleton	spicule granule	mid-gastrula stage	late gastrula stage																		
ECAO:0100568	hexaradiate spicule rudiment 	spicule rudiment	endoskeleton	spicule granule	8-arm pluteus larva stage	adult stage		hexaradiate spicule											x					
ECAO:0100569	larval spicule	skeletal element	larval endoskeleton	triradiate spicule rudiment	early pluteus larva stage	adult stage	"A triradiate or hexaradiate minute calcareous skeletal element that initiates most if not all skeletal structures found within the sea urchin embryo, larva and adult."	primary triradiate skeletal rudiment					"Heyland, A. and Hodin, J. (2014). A detailed staging scheme for late larval development in Strongylocentrotus purpuratus focused on readily-visible juvenile structures within the rudiment. BMC Developmental Biology 14, 22."						x					
ECAO:0100570	skeletal rod	skeletal element	endoskeleton	embryonic skeletogenic mesenchyme	late gastrula stage	early juvenile stage		spicule rod											x					
ECAO:0100571	anonymous rod	skeletal rod	endoskeleton		mid-gastrula stage	competent pluteus larva stage																		
ECAO:0100572	right anonymous rod	anonymous rod	endoskeleton	right ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0100573	left anonymous rod	anonymous rod	endoskeleton	left ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage																		
ECAO:0100574	right anterolateral rod	skeletal rod	endoskeleton	right dorsoventral connecting rod	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100575	left anterolateral rod	skeletal rod	endoskeleton	left dorsoventral connecting rod	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100576	right postoral rod	skeletal rod	endoskeleton	right anonymous rod	prism stage	competent pluteus larva stage													x					
ECAO:0100577	left postoral rod	skeletal rod	endoskeleton	left anonymous rod	prism stage	competent pluteus larva stage													x					
ECAO:0100578	right posterodorsal rod	skeletal rod	larval endoskeleton	triradiate spicule rudiment	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100579	left posterodorsal rod	skeletal rod	larval endoskeleton	triradiate spicule rudiment	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100580	right preoral rod	skeletal rod	larval endoskeleton	dorsal arch	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100581	left preoral rod	skeletal rod	larval endoskeleton	dorsal arch	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100582	dorsal arch	skeletal element	larval endoskeleton	triradiate spicule rudiment	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100583	right dorsoventral connecting rod	skeletal rod	endoskeleton	right ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0100584	left dorsoventral connecting rod	skeletal rod	endoskeleton	left ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0100585	right ventral transverse rod	skeletal rod	endoskeleton	right ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0100586	left ventral transverse rod	skeletal rod	endoskeleton	left ventrolateral triradiate spicule rudiment	mid-gastrula stage	competent pluteus larva stage													x					
ECAO:0100587	scheitel	skeletal element	larval endoskeleton	posterior tip of body rod	early pluteus larva stage	competent pluteus larva stage		body rod end											x					
ECAO:0100588	body rod	skeletal element	larval endoskeleton		prism stage	competent pluteus larva stage																		
ECAO:0100589	left body rod	body rod	larval endoskeleton	left anonymous rod	prism stage	competent pluteus larva stage													x					
ECAO:0100590	right body rod	body rod	larval endoskeleton	right anonymous rod	prism stage	competent pluteus larva stage													x					
ECAO:0100591	posterior tip of body rod	skeletal element	body rod		prism stage	competent pluteus larva stage																		
ECAO:0100592	posterior tip of left body rod	posterior tip of body rod	left body rod		prism stage	competent pluteus larva stage																		
ECAO:0100593	posteror tip of right body rod	posterior tip of body rod	right body rod		prism stage	competent pluteus larva stage																		
ECAO:0100594	right recurrent rod	skeletal rod	larval endoskeleton	right dorsoventral connecting rod	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100595	left recurrent rod	skeletal rod	larval endoskeleton	left dorsoventral connecting rod	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100596	posterior transverse rod	skeletal rod	larval endoskeleton	triradiate spicule rudiment	6-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100597	mouth	anatomical structure	whole organism		early pluteus larva stage	adult stage			UBERON:0000165															
ECAO:0100598	larval mouth	mouth	larval digestive system	stomodeum	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100599	anus	anatomical structure	whole organism		early pluteus larva stage	adult stage			UBERON:0001245															
ECAO:0100600	larval anus	anus	larval digestive system	blastopore	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100601	presumptive endoderm	embryonic tissue	vegetal hemisphere		early blastula stage	vegetal plate stage		prospective endoderm	UBERON:0006595															
ECAO:0100602	endoderm	germ layer	whole organism	presumptive endoderm	mid-blastula stage	competent pluteus larva stage			UBERON:0000925															
ECAO:0100603	archenteron	embryonic structure	digestive system	vegetal plate	blastopore formation stage	early pluteus larva stage		"embryonic gut, primitive gut"	UBERON:0004735															
ECAO:0100604	hindgut	digestive system element	archenteron	archenteron	late gastrula stage	early pluteus larva stage			UBERON:0001046															
ECAO:0100605	dorsal hindgut	anatomical region	hindgut	archenteron	late gastrula stage	early pluteus larva stage													x					
ECAO:0100606	ventral hindgut	anatomical region	hindgut	archenteron	late gastrula stage	early pluteus larva stage													x					
ECAO:0100607	midgut	digestive system element	archenteron	archenteron	mid-gastrula stage	early pluteus larva stage			UBERON:0001045															
ECAO:0100608	ventral midgut	anatomical region	midgut	archenteron	mid-gastrula stage	early pluteus larva stage													x					
ECAO:0100609	dorsal midgut	anatomical region	midgut	archenteron	mid-gastrula stage	early pluteus larva stage													x					
ECAO:0100610	anterior midgut	anatomical region	midgut	archenteron	mid-gastrula stage	early pluteus larva stage													x					
ECAO:0100611	posterior midgut	anatomical region	midgut	archenteron	mid-gastrula stage	early pluteus larva stage													x					
ECAO:0100612	anterior hindgut	anatomical region	hindgut	archenteron	late gastrula stage	early pluteus larva stage													x					
ECAO:0100613	posterior hindgut	anatomical region	hindgut	archenteron	late gastrula stage	early pluteus larva stage													x					
ECAO:0100614	foregut	digestive system element	archenteron	archenteron	mid-gastrula stage	early pluteus larva stage		tip of the digestive tract	UBERON:0001041															
ECAO:0100615	ventral foregut	anatomical region	foregut	archenteron	mid-gastrula stage	early pluteus larva stage													x					
ECAO:0100616	dorsal foregut	anatomical region	foregut	archenteron	mid-gastrula stage	early pluteus larva stage													x					
ECAO:0100617	anterior foregut	anatomical region	foregut	archenteron	mid-gastrula stage	early pluteus larva stage													x					
ECAO:0100618	posterior foregut	anatomical region	foregut	archenteron	mid-gastrula stage	early pluteus larva stage													x					
ECAO:0100619	tip of archenteron	anatomical region	archenteron	vegetal plate	early gastrula stage	prism stage		archenteron roof	UBERON:3010432															
ECAO:0100620	presumptive mesoderm	embryonic tissue	vegetal hemisphere	vegetal plate	16-cell stage	vegetal plate stage		prospective mesoderm	UBERON:0006603															
ECAO:0100621	mesoderm	germ layer	whole organism	presumptive mesoderm	16-cell stage	competent pluteus larva stage			UBERON:0000926															
ECAO:0100622	embryonic skeletogenic mesoderm	embryonic tissue	mesoderm	large micromere	32-cell stage	very late blastula stage	The subset of the embryonic mesoderm that will later give rise to the skeletogenic mesenchyme and embryonic skeleton.												x					
ECAO:0100623	embryonic skeletogenic mesenchyme	tissue	embryo	embryonic skeletogenic mesoderm	early mesenchyme blastula stage	prism stage	The embryonic tissue made up of loosely connected mesoderm cells that will produce all of the skeletal elements.	"SM, primary mesenchyme"											x					
ECAO:0100624	embryonic skeletogenic mesenchyme cell	cell	embryonic skeletogenic mesenchyme	large micromere	early mesenchyme blastula stage	prism stage		"PMC, primary mesenchyme cell"			CL:0007001													
ECAO:0100625	syncytium	cell						"multinucleate cell, multinucleated cell, syncytium, syncytial cell"			CL:0000228													
ECAO:0100626	embryonic skeletogenic mesenchyme syncytium	syncytium	endoskeleton	embryonic skeletogenic mesenchyme	early gastrula stage	prism stage	Anatomical structure composed of skeletogenic mesenchyme cells that have fused to form a single syncytial network.						"Hodor and Ettensohn, 2008"						x					
ECAO:0100627	subequatorial skeletogenic mesenchyme ring	embryonic structure	embryonic skeletogenic mesenchyme syncytium	embryonic skeletogenic mesenchyme	mid-gastrula stage	prism stage		"SM ring, subequatorial SM ring, PMC ring, subequatorial PMC ring, primary mesenchyme cell ring, subequatorial primary mesenchyme cell ring"											x					
ECAO:0100628	ventral skeletogenic mesenchyme chain	embryonic structure	subequatorial skeletogenic mesenchyme ring		mid-gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a chain on the oral (i.e. ventral) side of the embryo.												x					
ECAO:0100629	dorsal skeletogenic mesenchyme chain	embryonic structure	subequatorial skeletogenic mesenchyme ring		mid-gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a chain on the aboral (i.e. dorsal) side of the embryo.												x					
ECAO:0100630	right ventrolateral skeletogenic mesenchyme cluster	embryonic structure	subequatorial skeletogenic mesenchyme ring		mid-gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a cluster (i.e. a group of cells) in the ventrolateral region of the embryo.												x					
ECAO:0100631	left ventrolateral skeletogenic mesenchyme cluster	embryonic structure	subequatorial skeletogenic mesenchyme ring		mid-gastrula stage	prism stage																		
ECAO:0100632	lateral chain of skeletogenic mesenchyme	embryonic structure	embryonic skeletogenic mesenchyme syncytium		mid-gastrula stage	prism stage	"Subpopulation of skeletogenic mesenchyme forming a chain on either side of the developing digestive tract, along the blastocoel wall and towards the animal pole."												x					
ECAO:0100633	right lateral chain of skeletogenic mesenchyme	embryonic structure	lateral chain of skeletogenic mesenchyme	subequatorial skeletogenic mesenchyme ring	late gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a chain along the blastocoel wall towards the animal pole on the right side of the embryo.												x					
ECAO:0100634	left lateral chain of skeletogenic mesenchyme	embryonic structure	lateral chain of skeletogenic mesenchyme	subequatorial skeletogenic mesenchyme ring	late gastrula stage	prism stage	Subpopulation of skeletogenic mesenchyme forming a chain along the blastocoel wall towards the animal pole on the left side of the embryo.												x					
ECAO:0100635	embryonic non-skeletogenic mesoderm	embryonic tissue	mesoderm	vegetal tier 2 	very late blastula stage	late gastrula stage													x					
ECAO:0100636	ventral non-skeletogenic mesoderm	embryonic tissue	embryonic non-skeletogenic mesoderm	vegetal tier 2 	mesenchyme blastula phase	early gastrula stage													x					
ECAO:0100637	dorsal non-skeletogenic mesoderm	embryonic tissue	embryonic non-skeletogenic mesoderm	vegetal tier 2 	mesenchyme blastula phase	early gastrula stage													x					
ECAO:0100638	embryonic non-skeletogenic mesenchyme	tissue	embryo	vegetal tier 2 	early gastrula stage	prism stage		"secondary mesenchyme, NSM"											x					
ECAO:0100639	embryonic non-skeletogenic mesenchyme cell	cell	embryonic non-skeletogenic mesenchyme	vegetal tier 2 	early gastrula stage	prism stage		"SMC, secondary mesenchyme cell"											x					
ECAO:0100640	larval non-skeletogenic mesenchyme	tissue	larva		early pluteus larva stage	competent pluteus larva stage																		
ECAO:0100641	larval non-skeletogenic mesenchyme cell	cell	larval non-skeletogenic mesenchyme		early pluteus larva stage	competent pluteus larva stage																		
ECAO:0100642	presumptive blastocoelar cell	cell	embryonic non-skeletogenic mesoderm	vegetal tier 2 	mesenchyme blastula phase	late gastrula stage													x					
ECAO:0100643	presumptive pigment cell	cell	embryonic non-skeletogenic mesoderm		mesenchyme blastula phase	late gastrula stage		"presumptive pigmented cell, presumptive immunocyte"											x					
ECAO:0100644	pigment cell	cell	immune system	presumptive pigment cell	early gastrula stage	late juvenile stage	a cell that contains red coloring matter	"pigmented cell, pigmented immunocyte"			CL:0000147													
ECAO:0100645	embryonic pigment cell	pigment cell	embryonic immune system	presumptive pigment cell	early gastrula stage	prism stage													x					
ECAO:0100646	larval pigment cell	pigment cell	larval immune system		early pluteus larva stage	metamorphic larva stage													x					
ECAO:0100647	juvenile pigment cell	pigment cell	juvenile immune system		early juvenile stage	late juvenile stage													x					
ECAO:0100648	rudiment pigment cell	pigment cell	rudiment		8-arm pluteus larva stage	metamorphic larva stage																		
ECAO:0100649	blastocoelar cell	cell	immune system	presumptive blastocoelar cell	late gastrula stage	metamorphic larva stage													x					
ECAO:0100650	globular cell	blastocoelar cell	larval immune system		early pluteus larva stage	metamorphic larva stage							"Ho et al., 2016"						x					
ECAO:0100651	filopodial cell	blastocoelar cell	larval immune system		early pluteus larva stage	metamorphic larva stage							"Ho et al., 2016"						x					
ECAO:0100652	ovoid cell	blastocoelar cell	larval immune system		early pluteus larva stage	metamorphic larva stage							"Ho et al., 2016"						x					
ECAO:0100653	amoeboid cell	blastocoelar cell	larval immune system		early pluteus larva stage	metamorphic larva stage							"Ho et al., 2016"						x					
ECAO:0100654	muscle precursor cell	cell	muscular system		late gastrula stage	early pluteus larva stage		presumptive muscle cell			CL:0000680													
ECAO:0100655	muscle	tissue	muscular system																					
ECAO:0100656	larval muscle	larval tissue	larval muscular system		early pluteus larva stage	competent pluteus larva stage		contractile muscle											x					
ECAO:0100657	rudiment muscle	rudiment tissue	muscular system		8-arm pluteus larva stage	metamorphic larva stage																		
ECAO:0100658	juvenile muscle	juvenile tissue	juvenile muscular system		early juvenile stage	late juvenile stage																		
ECAO:0100659	adult muscle	adult tissue	adult muscular system		adult stage	adult stage													x					
ECAO:0100660	blastocoel	anatomical space	embryo		very early blastula stage	prism stage			UBERON:0000090															
ECAO:0100661	sphincter	digestive system element	whole organism		prism stage	adult stage													x					
ECAO:0100662	pyloric sphincter	sphincter	larval digestive system	archenteron	early pluteus larva stage	competent pluteus larva stage		midgut-hindgut constriction					"Ref pour structure tube digestif prism/plut: Annunziata, R., Perillo, M., Andrikou, C., Cole, A. G., Martinez, P. and Arnone, M. I. (2014). Pattern and process during sea urchin gut morphogenesis: The regulatory landscape. genesis 52, 251–268."						x					
ECAO:0100663	cardiac sphincter	sphincter	larval digestive system	archenteron	early pluteus larva stage	competent pluteus larva stage		foregut-midgut constriction											x					
ECAO:0100664	anal sphincter	sphincter	larval digestive system	archenteron	4-arm pluteus larva stage	competent pluteus larva stage		hindgut-ectoderm constriction											x					
ECAO:0100665	sphincter muscle	muscle	larval digestive system	archenteron	4-arm pluteus larva stage	adult stage			UBERON:0004590															
ECAO:0100666	sphincter muscle cell	cell	sphincter muscle	archenteron	4-arm pluteus larva stage	adult stage		myoepithelial cell											x					
ECAO:0100667	pyloric sphincteric muscle	sphincter muscle	pyloric sphincter	archenteron	4-arm pluteus larva stage	competent pluteus larva stage		pyloric sphincter	UBERON:0001202															
ECAO:0100668	cardiac sphincteric muscle	sphincter muscle	cardiac sphincter	archenteron	4-arm pluteus larva stage	competent pluteus larva stage		cardiac sphincter											x					
ECAO:0100669	anal sphincteric muscle	sphincter muscle	anal sphincter	archenteron	4-arm pluteus larva stage	competent pluteus larva stage		anal sphincter	UBERON:0004916															
ECAO:0100670	larval esophagus	digestive system element	larval digestive system	foregut	early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100671	circumesophageal muscle cell	cell	circumesophageal muscle	tip of archenteron	4-arm pluteus larva stage	competent pluteus larva stage		presumptive circumesophageal muscle cell											x					
ECAO:0100672	circumesophageal muscle	larval muscle	larval esophagus	tip of archenteron	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100673	larval stomach	digestive system element	larval digestive system	midgut	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100674	larval intestine	digestive system element	larval digestive system	hindgut	4-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100675	larval skeletogenic mesenchyme	tissue	larva		early pluteus larva stage	competent pluteus larva stage	"The mesenchyme cells that produce new skeletal elements  (i.e., the posterodorsal rods, dorsal arch, and preoral rods) in the larva after feeding begins"																	
ECAO:0100676	larval skeletogenic mesenchyme cell	cell	larval skeletogenic mesenchyme		early pluteus larva stage	competent pluteus larva stage																		
ECAO:0100677	coelom	anatomical structure	whole organism	tip of archenteron	prism stage	adult stage			UBERON:0011997															
ECAO:0100678	unpaired coelomic pouch	coelom	embryo	tip of archenteron	prism stage	prism stage		unpaired coelomic rudiment											x					
ECAO:0100679	right coelomic pouch 	coelom	larva	unpaired coelomic pouch	early pluteus larva stage	6-arm pluteus larva stage													x					
ECAO:0100680	left coelomic pouch 	coelom	larva	unpaired coelomic pouch	early pluteus larva stage	6-arm pluteus larva stage		left coelomic sac					"Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS ONE 5."						x					
ECAO:0100681	right coelomic constriction	anatomical structure	right coelomic pouch 	unpaired coelomic pouch	early pluteus larva stage	6-arm pluteus larva stage													x					
ECAO:0100682	left coelomic constriction	anatomical structure	left coelomic pouch 	unpaired coelomic pouch	early pluteus larva stage	6-arm pluteus larva stage													x					
ECAO:0100683	vestibule	larval structure	larval epithelium	ventral ectoderm	6-arm pluteus larva stage	8-arm pluteus larva stage		amniotic sac					"Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS ONE 5.
Chino et al., 1994 
Formery et al., (in prep.)
Smith et al., 2008"						x					
ECAO:0100684	oral epithelium	larval tissue	larval epithelium		early pluteus larva stage	competent pluteus larva stage		"oral epidermis, circumoral epithelium, circumoral ectoderm"	UBERON:0002424															
ECAO:0100685	aboral epithelium	larval tissue	larval epithelium		early pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100686	vestibular pore	anatomical structure	larva	left lateral field	competent pluteus larva stage	competent pluteus larva stage	Opening located in the left lateral field						gossellin and jangoux 1998						x					
ECAO:0100687	left axocoel	axocoel	larva	left coelomic pouch 	8-arm pluteus larva stage	competent pluteus larva stage													x					
ECAO:0100688	axial coelom	coelom	adult	left axocoel	early juvenile stage	adult stage							Ziegler et al 2009						x					
ECAO:0100689	hydrocoel	coelom	larva		6-arm pluteus larva stage	8-arm pluteus larva stage		central coelom											x					
ECAO:0100690	axocoel	coelom	larva		6-arm pluteus larva stage	8-arm pluteus larva stage		anterior coelom											x					
ECAO:0100691	somatocoel	coelom	larva		6-arm pluteus larva stage	8-arm pluteus larva stage		posterior coelom											x					
ECAO:0100692	left hydrocoel	hydrocoel	larva	left coelomic pouch 	6-arm pluteus larva stage	8-arm pluteus larva stage													x					
ECAO:0100693	left somatocoel	somatocoel	larva	left coelomic pouch 	6-arm pluteus larva stage	8-arm pluteus larva stage													x					
ECAO:0100694	right axohydrocoel	coelom	larva	right coelomic pouch 	6-arm pluteus larva stage	8-arm pluteus larva stage		anterior sac											x					
ECAO:0100695	right somatocoel	somatocoel	larva	right coelomic pouch 	6-arm pluteus larva stage	8-arm pluteus larva stage													x					
ECAO:0100696	stone canal	anatomical structure	axial complex	left coelomic pouch 	8-arm pluteus larva stage	adult stage													x					
ECAO:0100697	ring canal	anatomical structure	water vascular system	left hydrocoel	8-arm pluteus larva stage	adult stage													x					
ECAO:0100698	radial canal	anatomical structure	water vascular system	left hydrocoel	8-arm pluteus larva stage	adult stage													x					
ECAO:0100699	primary pore canal	larval structure	water vascular system	embryonic non-skeletogenic mesenchyme	4-arm pluteus larva stage	4-arm pluteus larva stage		hydropore canal											x					
ECAO:0100700	hydropore	anatomical structure	water vascular system		4-arm pluteus larva stage	adult stage													x					
ECAO:0100701	right axocoel	axocoel	larva	right axohydrocoel	6-arm pluteus larva stage	8-arm pluteus larva stage													x					
ECAO:0100702	right hydrocoel	hydrocoel	larva	right axohydrocoel	6-arm pluteus larva stage	8-arm pluteus larva stage													x					
ECAO:0100703	axial complex	anatomical structure	water vascular system		early juvenile stage	adult stage																		
ECAO:0100704	axial sinus	anatomical structure	axial complex	right hydrocoel	early juvenile stage	adult stage							"Smith et al., 2008"						x					
ECAO:0100705	axial organ	anatomical structure	axial complex		early juvenile stage	adult stage							"Ziegler et al., 2009"						x					
ECAO:0100706	dorsal sac	anatomical structure	axial complex		early juvenile stage	adult stage																		
ECAO:0100707	ciliated epaulette	larval structure	larval epithelium	ciliary band	6-arm pluteus larva stage	competent pluteus larva stage							gossellin and jangoux 1998						x					
ECAO:0100708	anterior ciliated epaulette	larval structure	ciliated epaulette		8-arm pluteus larva stage	competent pluteus larva stage							gossellin and jangoux 1998						x					
ECAO:0100709	posterior ciliated epaulette	larval structure	ciliated epaulette		8-arm pluteus larva stage	competent pluteus larva stage							gossellin and jangoux 1998						x					
ECAO:0100710	lateral field	anatomical region	larval epithelium		8-arm pluteus larva stage	competent pluteus larva stage	The lateral field is located in the aboral ectoderm of the larva. It separates the anterior and posterior pairs of epaulettes						gossellin and jangoux 1998						x					
ECAO:0100711	left lateral field	lateral field	larval epithelium		8-arm pluteus larva stage	competent pluteus larva stage	The left lateral field is the lateral field located on the left side of the larva						gossellin and jangoux 1998						x					
ECAO:0100712	right lateral field	lateral field	larval epithelium		8-arm pluteus larva stage	competent pluteus larva stage	The right lateral field is the lateral field located on the right side of the larva						gossellin and jangoux 1998						x					
ECAO:0100713	larval epithelium	larval tissue	larva		early pluteus larva stage	metamorphic larva stage													x					
ECAO:0100714	ambulacral plate	skeletal element	endoskeleton		8-arm pluteus larva stage	adult stage													x					
ECAO:0100715	adult skeletogenic mesenchyme	tissue	adult		early juvenile stage	adult stage	"The mesenchyme cells that produce biomineralized elements (e.g., spines, test plates, and teeth) in the juvenile and adult."																	
ECAO:0100716	interambulacral plate	skeletal element	endoskeleton		8-arm pluteus larva stage	adult stage		int											x					
ECAO:0100717	ambulacra	anatomical structure	whole organism		8-arm pluteus larva stage	adult stage													x					
ECAO:0100718	interambulacra	anatomical structure	whole organism		8-arm pluteus larva stage	adult stage													x					
ECAO:0100719	genital plate	skeletal element	endoskeleton		8-arm pluteus larva stage	adult stage													x					
ECAO:0100720	appendage	anatomical structure	whole organism																					
ECAO:0100721	pedicellaria	appendage	whole organism		8-arm pluteus larva stage	adult stage			UBERON:0008261															
ECAO:0100722	ocular plate	skeletal element	endoskeleton		8-arm pluteus larva stage	adult stage		terminal plate											x					
ECAO:0100723	buccal plate	skeletal element	endoskeleton		early juvenile stage	adult stage													x					
ECAO:0100724	genital plate AB	genital plate	endoskeleton		8-arm pluteus larva stage	adult stage							"Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology"						x					
ECAO:0100725	genital plate BC	genital plate	endoskeleton		8-arm pluteus larva stage	adult stage							"Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology"						x					
ECAO:0100726	genital plate CD	genital plate	endoskeleton		8-arm pluteus larva stage	adult stage							"Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology"						x					
ECAO:0100727	genital plate DE	genital plate	endoskeleton		8-arm pluteus larva stage	adult stage							"Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology"						x					
ECAO:0100728	genital plate EA	genital plate	endoskeleton		8-arm pluteus larva stage	adult stage							"Carpenter, P.H. (1884). Report upon the Crinoidea collected during the voyage of HMS Challenger during the years 1873–1876, part 1. General morphology with descriptions of the stalked crinoids: Reports of the Scientific Results of the Voyage of HMS Challenger: Zoology"						x					
ECAO:0100729	podia	appendage	whole organism		8-arm pluteus larva stage	adult stage		tube foot	UBERON:0008247															
ECAO:0100730	primary podia	podia	appendage		8-arm pluteus larva stage	late juvenile stage		primary tube foot											x					
ECAO:0100731	disk of primary podia	skeletal element	primary podia		8-arm pluteus larva stage	late juvenile stage													x					
ECAO:0100732	secondary podia	podia	appendage		early juvenile stage	adult stage		secondary tube foot											x					
ECAO:0100733	disk of secondary podia	skeletal element	secondary podia		early juvenile stage	adult stage													x					
ECAO:0100734	buccal podia	primary podia associated neuron	appendage		early juvenile stage	adult stage																		
ECAO:0100735	spine	appendage	whole organism		8-arm pluteus larva stage	adult stage		spine appendage	UBERON:0008260															
ECAO:0100736	juvenile spine	spine	whole organism		8-arm pluteus larva stage	late juvenile stage		splayed spines 											x					
ECAO:0100737	definitive spine	spine	whole organism		8-arm pluteus larva stage	adult stage		adult spine											x					
ECAO:0100738	sphaeridium	appendage	whole organism		early juvenile stage	adult stage													x					
ECAO:0100739	ampulla	anatomical structure	water vascular system	radial canal	early juvenile stage	adult stage		tube foot ampulla	UBERON:0008252															
ECAO:0100740	adult mouth	mouth	adult digestive system		late juvenile stage	adult stage													x					
ECAO:0100741	adult anus	anus	adult digestive system		late juvenile stage	adult stage													x					
ECAO:0100742	tooth	anatomical structure	Aristotle's lantern	dental sac	early juvenile stage	adult stage									XAO:0000431				xao					
